,LEAP_ID,EmbeddingMethod,Silhouette,ARI_with_stamp,NMI_with_stamp,ARI_with_miso_hne,NMI_with_miso_hne,ARI_with_miso,NMI_with_miso
0,LEAP-002A,uni,0.06050904,0.02729716147586684,0.0726278348970694,0.11209457542403685,0.19140206691268738,0.07563045263190958,0.19140206691268738
1,LEAP-002A,miso_hne,0.09322959,0.09655983447212699,0.19413474160171135,,0.43057249275692916,0.262452662448857,0.43057249275692916
2,LEAP-002A,miso,0.036375195,0.2482220350528863,0.4646973508918343,,,,
3,LEAP-002B,uni,0.018129542,0.004836115354317446,0.03713918241422336,0.217475348243543,0.3089671542167218,0.17240790368401804,0.3089671542167218
4,LEAP-002B,miso_hne,0.06105907,0.011061301576573675,0.10778399464385714,,0.6516452258531493,0.4318185706360734,0.6516452258531493
5,LEAP-002B,miso,0.009878994,0.028078136149634923,0.19990522502333602,,,,
6,LEAP-003A,uni,0.04037778,0.11451644388842284,0.162998151237425,0.16992266859635868,0.3353120062858134,0.1692173744339357,0.3353120062858134
7,LEAP-003A,miso_hne,0.08246218,0.07231144706120811,0.21615221667175646,,0.6132649724057178,0.40222762356312913,0.6132649724057178
8,LEAP-003A,miso,0.020950424,0.1548207230330894,0.31462355966612854,,,,
9,LEAP-003B,uni,0.02611235,0.001950603629528922,0.03758531682126658,0.15058399091033117,0.21183651454290578,0.1161195056090812,0.21183651454290578
10,LEAP-003B,miso_hne,0.059447818,0.051633010960501914,0.18774915474889345,,0.4589650062774095,0.3530225527155471,0.4589650062774095
11,LEAP-003B,miso,0.022275595,0.1388795175598436,0.3379664544045332,,,,
12,LEAP-004A,uni,0.031535555,0.20888930547995066,0.2750375339496729,0.1821901165446357,0.3830269912962624,0.2184629832031647,0.3830269912962624
13,LEAP-004A,miso_hne,0.06733597,0.08764081420589521,0.17517775389619622,,0.5823347789701694,0.46390507340615583,0.5823347789701694
14,LEAP-004A,miso,0.024245027,0.1523832217040423,0.2893827970083098,,,,
15,LEAP-004B,uni,0.042962633,0.05395244511061525,0.12597071979249433,0.2338363417173875,0.3969365134347612,0.22131365280156384,0.3969365134347612
16,LEAP-004B,miso_hne,0.08942492,0.07429332337894255,0.1992894352090637,,0.6067704237957827,0.4011996581251184,0.6067704237957827
17,LEAP-004B,miso,0.02812295,0.1380326144800942,0.2928214813194374,,,,
18,LEAP-005B,uni,0.02593258,0.07327398189252445,0.24481879094045042,0.24056856902809232,0.3880488744279357,0.2763918884533792,0.3880488744279357
19,LEAP-005B,miso_hne,0.04621819,0.06826043266131976,0.27301583469117824,,0.5418568934892583,0.3617377052167148,0.5418568934892583
20,LEAP-005B,miso,0.02950546,0.1079045280695059,0.3345809324689506,,,,
21,LEAP-006A,uni,0.06191319,0.3207221591820824,0.4397524172369827,0.3686360207123893,0.5578849810409771,0.4662090710014378,0.5578849810409771
22,LEAP-006A,miso_hne,0.09613431,0.26429076042580757,0.4761051083719892,,0.7094538102331083,0.5484669404104382,0.7094538102331083
23,LEAP-006A,miso,0.08236772,0.383685795575591,0.537312457974182,,,,
24,LEAP-006B,uni,0.05403046,0.15373021221815905,0.27548773339857935,0.24542447747136953,0.4318767524503645,0.2525019571048271,0.4318767524503645
25,LEAP-006B,miso_hne,0.07451882,0.18966661561983508,0.3994483925241439,,0.6328484313952788,0.44723529427118663,0.6328484313952788
26,LEAP-006B,miso,0.06614579,0.2580609664029264,0.4605590181612336,,,,
27,LEAP-007A,uni,0.057780698,0.18569040132843898,0.3257261647600855,0.37589055036979185,0.4873872831846289,0.29761926881230866,0.4873872831846289
28,LEAP-007A,miso_hne,0.07645683,0.21035419123046384,0.35395908925113095,,0.6046605260208343,0.4139745311093471,0.6046605260208343
29,LEAP-007A,miso,0.0680588,0.2361593361999487,0.4529683020669496,,,,
30,LEAP-007B,uni,0.034414563,0.053465835660072306,0.14155821628972934,0.14774575633949347,0.3092697304485046,0.13836789195190632,0.3092697304485046
31,LEAP-007B,miso_hne,0.061666176,0.05464450364530763,0.1951196974123291,,0.5512979528921412,0.3337909926030199,0.5512979528921412
32,LEAP-007B,miso,0.028053617,0.09193586273810553,0.3188615528226675,,,,
33,LEAP-008A,uni,0.049369775,0.2262770489835853,0.4253617588249975,0.3726922562789311,0.5754123680781763,0.4045490523865029,0.5754123680781763
34,LEAP-008A,miso_hne,0.090199314,0.2672757130312431,0.4721346019164241,,0.7339177088168038,0.5596737330149705,0.7339177088168038
35,LEAP-008A,miso,0.09358739,0.2894958998975821,0.5335730879434513,,,,
36,LEAP-008B,uni,0.043434214,0.10014838108507494,0.19847907473435947,0.19153808953645274,0.3294039666387739,0.1547320964711129,0.3294039666387739
37,LEAP-008B,miso_hne,0.055334732,0.12460803879660592,0.28531960535545486,,0.5471224671344436,0.31637131072482777,0.5471224671344436
38,LEAP-008B,miso,0.03667631,0.18875081218860776,0.4151825933317156,,,,
39,LEAP-010A,uni,0.04609925,0.1401529183083869,0.277950196085603,0.32758818375514964,0.48942714818314237,0.3320203298174997,0.48942714818314237
40,LEAP-010A,miso_hne,0.09035563,0.18133977065707008,0.37477514443400634,,0.6425897723150088,0.47176772461399513,0.6425897723150088
41,LEAP-010A,miso,0.083865486,0.322052413768207,0.4739493115396013,,,,
42,LEAP-010B,uni,0.037901998,0.028210715461650944,0.10582206665441178,0.16012941151320412,0.2836984880969315,0.14182280207590314,0.2836984880969315
43,LEAP-010B,miso_hne,0.05690155,0.01930262158922259,0.15243661176002402,,0.5721121178124594,0.41155681025466717,0.5721121178124594
44,LEAP-010B,miso,0.02860993,0.02150528373254827,0.1980384337119757,,,,
45,LEAP-011A,uni,0.055447865,0.11210133536795433,0.2665544923093828,0.3575181154579338,0.4476995134668014,0.32420108516374907,0.4476995134668014
46,LEAP-011A,miso_hne,0.10325691,0.07896083590021537,0.2798544686922769,,0.572298223828934,0.3902404496894735,0.572298223828934
47,LEAP-011A,miso,0.04698093,0.1454856036251613,0.3562917798470374,,,,
48,LEAP-011B,uni,0.057392765,0.07747649225555983,0.15848417317491106,0.22808311005841067,0.39149543251078256,0.2278506640757161,0.39149543251078256
49,LEAP-011B,miso_hne,0.07035587,0.059175237382407334,0.1791057674558212,,0.5213150358575626,0.306245765802393,0.5213150358575626
50,LEAP-011B,miso,0.05423888,0.1055132788644556,0.3018279490575231,,,,
51,LEAP-012B,uni,0.027660625,0.0420225792205249,0.14445387898228373,0.10275175668489993,0.22934983345091844,0.10386764220670111,0.22934983345091844
52,LEAP-012B,miso_hne,0.059416514,0.05521075512628881,0.22697447551108527,,0.6103449365013982,0.4244512575130446,0.6103449365013982
53,LEAP-012B,miso,0.019996222,0.09157555028591798,0.32444316800879425,,,,
54,LEAP-013A,uni,0.06490594,0.1717021986262831,0.3512381787681389,0.290950383937284,0.5855054699433582,0.39428425641099596,0.5855054699433582
55,LEAP-013A,miso_hne,0.10283711,0.15724239723648897,0.3024990497163982,,0.629598557857225,0.4265751309193528,0.629598557857225
56,LEAP-013A,miso,0.07706598,0.18643917506600233,0.40023279721017485,,,,
57,LEAP-013B,uni,0.034393065,0.18169813835105691,0.2848358855200138,0.2040170245442482,0.3899914941908219,0.23103086369706666,0.3899914941908219
58,LEAP-013B,miso_hne,0.049201302,0.11784864555001026,0.2890494056914431,,0.5756176076027436,0.4205770039096716,0.5756176076027436
59,LEAP-013B,miso,0.061196625,0.190755276222149,0.4026870290740436,,,,
60,LEAP-014B,uni,0.045820184,0.08411972556134004,0.23853820051328375,0.1885209075154009,0.4105903612851906,0.21039480554462783,0.4105903612851906
61,LEAP-014B,miso_hne,0.048738454,0.08411650717016354,0.29487433999034346,,0.6589229106865822,0.44518485331261165,0.6589229106865822
62,LEAP-014B,miso,0.016835384,0.13895655094921042,0.3632716736143934,,,,
63,LEAP-015A,uni,0.058372732,0.13938580238311438,0.258633875270727,0.37036756219816575,0.4985699830143402,0.32984433693304965,0.4985699830143402
64,LEAP-015A,miso_hne,0.12400916,0.19847949325311104,0.35313792658338566,,0.674183745594688,0.5301802278964228,0.674183745594688
65,LEAP-015A,miso,0.081085406,0.23717925334476253,0.44053026342845963,,,,
66,LEAP-017A,uni,0.046463292,0.030790173027884376,0.13892518604956564,0.2886947996468678,0.47464365945624853,0.2996706468615141,0.47464365945624853
67,LEAP-017A,miso_hne,0.09530419,0.03042206962484257,0.16635665479117795,,0.6759731987053024,0.5711892602330276,0.6759731987053024
68,LEAP-017A,miso,0.023508528,0.04091219325466552,0.21106054879703318,,,,
69,LEAP-017B,uni,0.030704383,0.08707615716363648,0.16930757368802338,0.202794860320326,0.35240787294659187,0.1908945318899036,0.35240787294659187
70,LEAP-017B,miso_hne,0.032331984,0.04130526456849599,0.1471956150670305,,0.5062020141040265,0.33648062431758974,0.5062020141040265
71,LEAP-017B,miso,0.0021087565,0.0609132597796893,0.19611644980080106,,,,
72,LEAP-018A,uni,0.03678869,0.08847879175646226,0.27864848744207726,0.18282871153554553,0.44255506510840864,0.24087420355162334,0.44255506510840864
73,LEAP-018A,miso_hne,0.06911094,0.03940660531911722,0.2410772811733046,,0.5877084951576201,0.3641976870744396,0.5877084951576201
74,LEAP-018A,miso,0.038950123,0.046901213666290964,0.30560197174961334,,,,
75,LEAP-018B,uni,0.061643925,0.2334083601303982,0.3121134711297536,0.27896621799682747,0.4276877621208555,0.257324755061262,0.4276877621208555
76,LEAP-018B,miso_hne,0.055078704,0.1661806787583567,0.36123749960565354,,0.6538844147212012,0.4737448025529355,0.6538844147212012
77,LEAP-018B,miso,0.05015704,0.1839954021473572,0.4304792755070799,,,,
78,LEAP-019A,uni,0.05129809,0.17334305855737195,0.3154750200765755,0.3196170922173872,0.5087068700065955,0.3038025977227116,0.5087068700065955
79,LEAP-019A,miso_hne,0.079800725,0.13676997503439473,0.3479606787990615,,0.7186981159625739,0.5855668141076399,0.7186981159625739
80,LEAP-019A,miso,0.063148595,0.1756612175907175,0.4372007942001444,,,,
81,LEAP-019B,uni,0.029557535,0.05568549997901933,0.19715877981987562,0.1532998416411754,0.2654847269509017,0.17394892103928994,0.2654847269509017
82,LEAP-019B,miso_hne,0.055510383,0.04116154164174912,0.2191335213319535,,0.33277007801812786,0.1923018065788198,0.33277007801812786
83,LEAP-019B,miso,0.05902403,0.16960409983678104,0.4006154140497669,,,,
84,LEAP-020A,uni,0.035099387,0.07122447540751493,0.2237277814062691,0.21135172684977233,0.382115584348454,0.22057042831335646,0.382115584348454
85,LEAP-020A,miso_hne,0.05754342,0.05789714668723901,0.2309552712299821,,0.5699317174919375,0.39534484027297073,0.5699317174919375
86,LEAP-020A,miso,0.020571206,0.097185210906199,0.3148629968998866,,,,
87,LEAP-020B,uni,0.041362718,0.15682042812510572,0.26423977695635015,0.24765800426783685,0.4387963320750903,0.25942300170270255,0.4387963320750903
88,LEAP-020B,miso_hne,0.061406095,0.13546926466050274,0.29455741239228683,,0.5210996423326735,0.2910533374118873,0.5210996423326735
89,LEAP-020B,miso,0.0011793126,0.27446225620903125,0.39576769813417756,,,,
90,LEAP-021A,uni,0.05782782,0.02037209666802494,0.10062339736846126,0.3249493494152292,0.4538498128801294,0.31931934766210035,0.4538498128801294
91,LEAP-021A,miso_hne,0.11927571,0.04762198538494241,0.17212102224146666,,0.6341188874699248,0.48402802322281424,0.6341188874699248
92,LEAP-021A,miso,0.012622186,0.09685419251273557,0.2735059505196984,,,,
